2017-09-21 09:43:51.718 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'testCache' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'testCache' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-21 09:43:52.466 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'null' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'null' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-21 09:59:40.956 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'testCache' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'testCache' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-21 09:59:41.363 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'null' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'null' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-21 10:06:59.488 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'testCache' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'testCache' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-21 10:06:59.842 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'null' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'null' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-21 10:07:38.648 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'testCache' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'testCache' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-21 10:07:38.962 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'null' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'null' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-21 10:08:41.775 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'testCache' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'testCache' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-21 10:08:42.140 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'null' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'null' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-21 10:24:54.304 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'testCache' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'testCache' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-21 10:24:54.617 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'null' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'null' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-21 21:11:59.455 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'testCache' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'testCache' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-21 21:11:59.819 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'null' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'null' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-21 21:20:42.891 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'testCache' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'testCache' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-21 21:20:43.281 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'null' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'null' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
